Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-31,41.0,43.61000061035156,40.75,43.540000915527344,422100,0,0
2020-08-03,44.400001525878906,44.70000076293945,40.5,40.88999938964844,657200,0,0
2020-08-04,41.0099983215332,41.970001220703125,40.209999084472656,40.77000045776367,248900,0,0
2020-08-05,41.5,42.70800018310547,40.55500030517578,41.7400016784668,1174100,0,0
2020-08-06,42.029998779296875,42.029998779296875,39.06999969482422,39.84000015258789,605500,0,0
2020-08-07,39.08000183105469,39.310001373291016,36.650001525878906,38.0,1013600,0,0
2020-08-10,38.599998474121094,39.0,36.79999923706055,37.5,474200,0,0
2020-08-11,37.900001525878906,40.29999923706055,37.900001525878906,40.0,655000,0,0
2020-08-12,40.43000030517578,41.5099983215332,39.529998779296875,39.77000045776367,555100,0,0
2020-08-13,39.5,40.18000030517578,37.599998474121094,37.75,444900,0,0
2020-08-14,38.0,39.209999084472656,37.86000061035156,38.209999084472656,497600,0,0
2020-08-17,39.0,42.880001068115234,39.0,42.79999923706055,841400,0,0
2020-08-18,40.0099983215332,45.24399948120117,39.0,42.060001373291016,2247200,0,0
2020-08-19,42.08000183105469,44.12699890136719,42.08000183105469,43.33000183105469,1025300,0,0
2020-08-20,43.0,48.849998474121094,42.95000076293945,46.5099983215332,1614000,0,0
2020-08-21,46.5,47.470001220703125,44.88199996948242,45.5,744300,0,0
2020-08-24,46.220001220703125,46.68000030517578,45.099998474121094,45.400001525878906,538300,0,0
2020-08-25,45.04999923706055,45.68000030517578,43.88999938964844,44.189998626708984,520800,0,0
2020-08-26,44.400001525878906,49.790000915527344,44.31999969482422,47.20000076293945,1606300,0,0
2020-08-27,47.810001373291016,48.25,45.130001068115234,46.54999923706055,685800,0,0
2020-08-28,46.31999969482422,49.97999954223633,45.79999923706055,48.65999984741211,784400,0,0
2020-08-31,49.13999938964844,49.31999969482422,47.0,47.779998779296875,342000,0,0
2020-09-01,49.02000045776367,53.7400016784668,48.77000045776367,52.86000061035156,801700,0,0
2020-09-02,53.5,57.369998931884766,51.36000061035156,56.939998626708984,971500,0,0
2020-09-03,56.0,57.5,50.38999938964844,51.900001525878906,1111200,0,0
2020-09-04,51.0,53.9900016784668,45.38999938964844,52.7599983215332,936600,0,0
2020-09-08,49.86600112915039,50.9900016784668,48.0099983215332,49.130001068115234,772800,0,0
2020-09-09,50.79999923706055,51.46500015258789,49.4900016784668,50.25,644200,0,0
2020-09-10,51.58000183105469,53.459999084472656,49.060001373291016,50.689998626708984,411800,0,0
2020-09-11,50.900001525878906,51.04999923706055,47.590999603271484,48.400001525878906,331700,0,0
2020-09-14,48.849998474121094,51.96500015258789,48.70000076293945,50.70000076293945,371600,0,0
2020-09-15,51.2400016784668,52.5,47.45800018310547,48.22999954223633,616100,0,0
2020-09-16,48.099998474121094,50.79999923706055,48.099998474121094,49.95000076293945,341600,0,0
2020-09-17,47.5,49.93000030517578,47.30699920654297,49.439998626708984,247700,0,0
2020-09-18,49.45000076293945,49.9900016784668,47.61000061035156,47.86000061035156,481200,0,0
2020-09-21,47.0,48.9900016784668,46.099998474121094,46.95000076293945,428800,0,0
2020-09-22,47.13999938964844,49.4900016784668,46.5,48.4900016784668,849000,0,0
2020-09-23,49.0,49.0,46.02000045776367,46.540000915527344,514200,0,0
2020-09-24,45.59000015258789,48.560001373291016,45.0,47.81999969482422,461800,0,0
2020-09-25,46.599998474121094,47.82500076293945,46.099998474121094,46.47999954223633,280700,0,0
2020-09-28,46.869998931884766,47.775001525878906,44.95000076293945,46.380001068115234,274800,0,0
2020-09-29,46.380001068115234,46.900001525878906,45.099998474121094,45.31999969482422,402800,0,0
2020-09-30,45.20000076293945,45.784000396728516,42.5,42.97999954223633,694400,0,0
2020-10-01,43.0099983215332,43.4900016784668,41.099998474121094,41.77000045776367,909300,0,0
2020-10-02,41.400001525878906,44.79999923706055,41.0099983215332,43.9900016784668,534000,0,0
2020-10-05,45.18000030517578,45.86000061035156,43.3120002746582,44.08000183105469,298500,0,0
2020-10-06,44.08000183105469,45.52000045776367,41.279998779296875,42.38999938964844,645500,0,0
2020-10-07,42.650001525878906,43.27000045776367,40.5,40.5,896000,0,0
2020-10-08,41.47999954223633,42.16999816894531,40.310001373291016,40.90999984741211,704100,0,0
2020-10-09,41.06999969482422,45.34000015258789,40.79999923706055,45.04999923706055,916000,0,0
2020-10-12,46.43000030517578,47.70000076293945,45.224998474121094,46.02000045776367,988900,0,0
2020-10-13,46.0,47.5,44.5099983215332,45.63999938964844,665600,0,0
2020-10-14,45.2599983215332,46.0,43.70000076293945,45.0,781300,0,0
2020-10-15,44.369998931884766,44.400001525878906,42.900001525878906,43.5,722100,0,0
2020-10-16,43.95000076293945,45.20000076293945,41.91999816894531,42.0,608300,0,0
2020-10-19,42.63999938964844,44.0,40.895999908447266,43.459999084472656,863100,0,0
2020-10-20,43.72999954223633,44.540000915527344,42.33000183105469,43.459999084472656,1094100,0,0
2020-10-21,44.310001373291016,45.81999969482422,40.900001525878906,41.95000076293945,1300300,0,0
2020-10-22,42.119998931884766,42.59000015258789,41.130001068115234,41.15999984741211,772200,0,0
2020-10-23,41.369998931884766,42.15999984741211,40.70000076293945,42.150001525878906,692400,0,0
2020-10-26,41.810001373291016,43.38999938964844,40.849998474121094,41.709999084472656,727400,0,0
2020-10-27,42.0,43.459999084472656,41.880001068115234,42.599998474121094,820800,0,0
2020-10-28,42.29999923706055,42.310001373291016,40.5099983215332,40.90999984741211,1258700,0,0
2020-10-29,41.650001525878906,43.790000915527344,40.88999938964844,42.06999969482422,993200,0,0
2020-10-30,42.06999969482422,42.43199920654297,37.959999084472656,38.5,1340300,0,0
